alarm_id,device_id,start_timestamp,end_timestamp
1,30,113,205
5,5,136,153
0,37,143,193
8,4,150,152
0,32,153,164
0,32,153,157
0,33,293,317
0,34,319,326
9,27,397,418
6,25,400,410
10,17,400,406
4,25,403,412
9,17,404,435
5,25,406,440
5,3,535,568
6,21,536,619
1,32,547,599
1,33,554,566
0,10,562,577
1,33,580,600
1,21,596,597
1,33,597,628
1,27,600,618
1,33,605,616
1,33,612,632
2,21,618,623
5,24,628,719
0,24,675,709
0,24,699,712
5,14,704,799
0,14,706,815
0,30,711,717
4,8,735,742
0,11,735,765
0,25,736,769
2,28,756,765
0,23,760,792
0,11,761,809
0,16,763,779
0,25,764,821
4,9,901,916
0,8,907,907
5,9,949,959
0,9,950,967
10,1,952,955
0,23,953,1010
3,14,953,1017
0,25,960,960
9,20,961,1008
0,11,972,989
0,16,977,1000
4,34,982,995
0,1,987,1003
0,25,987,1060
0,16,996,1009
0,23,1005,1023
0,25,1011,1021
9,33,1140,1264
0,15,1151,1158
5,36,1156,1206
1,11,1223,1287
10,1,1257,1263
8,4,1316,1338
9,33,1318,1329
1,22,1320,1332
0,10,1324,1372
0,10,1328,1360
6,10,1380,1388
2,8,1385,1455
5,25,1390,1411
4,22,1407,1424
5,3,1426,1431
0,2,1428,1438
10,31,1471,1487
5,24,1476,1493
9,24,1481,1488
10,31,1482,1491
4,24,1489,1503
8,33,1501,1528
0,21,1503,1509
0,33,1510,1527
5,28,1514,1621
0,33,1521,1546
3,16,1536,1581
5,21,1546,1579
5,36,1546,1565
0,33,1553,1563
0,33,1559,1617
0,28,1571,1650
0,33,1575,1587
0,27,1577,1595
0,25,1594,1608
9,16,1619,1621
0,27,1628,1659
6,8,1636,1654
5,37,1648,1661
5,0,1668,1695
0,0,1671,1718
9,36,1681,1686
6,5,1723,1749
7,5,1809,1834
5,32,1819,1853
9,26,1821,1883
4,19,1827,1834
4,37,1829,1846
0,33,1837,1841
0,21,1843,1847
8,3,1902,1960
0,19,1906,1970
0,10,1922,1989
0,33,1933,2040
0,2,1934,1948
0,33,1946,1947
0,10,1949,2058
2,12,1956,2030
0,3,1959,1991
10,7,1995,2013
10,5,2018,2031
3,32,2020,2027
9,5,2021,2052
9,5,2026,2031
0,9,2027,2037
2,37,2043,2069
10,0,2046,2137
4,28,2056,2059
9,0,2057,2071
8,6,2063,2071
9,0,2063,2094
3,16,2063,2082
5,16,2066,2079
7,30,2066,2090
0,0,2067,2116
2,7,2072,2076
3,16,2075,2090
4,20,2077,2146
9,16,2093,2103
3,16,2103,2106
5,16,2106,2113
9,16,2108,2134
9,21,2124,2134
8,17,2143,2178
0,2,2149,2158
3,10,2187,2193
9,31,2199,2270
9,19,2208,2233
2,23,2226,2232
6,12,2256,2400
2,36,2259,2305
1,12,2280,2297
8,3,2285,2300
1,36,2288,2291
0,2,2289,2298
2,36,2294,2306
6,2,2295,2357
1,2,2296,2318
1,36,2296,2311
0,10,2298,2314
1,17,2304,2320
2,3,2314,2337
2,1,2325,2344
2,36,2340,2370
1,2,2356,2415
2,0,2378,2422
1,36,2379,2391
1,24,2386,2393
4,25,2394,2409
7,5,2404,2447
4,5,2415,2432
8,37,2420,2421
5,5,2425,2430
7,1,2461,2480
5,1,2465,2500
0,7,2470,2472
0,6,2474,2489
9,1,2474,2531
0,14,2476,2489
6,30,2491,2506
0,36,2492,2495
2,20,2551,2565
9,27,2568,2643
7,18,2685,2693
8,26,2687,2688
10,35,2718,2726
9,1,2719,2742
7,6,2724,2801
5,15,2730,2750
5,15,2761,2764
2,17,2761,2774
10,12,2767,2823
4,6,2770,2772
5,6,2774,2851
4,15,2775,2784
0,6,2779,2783
5,6,2789,2821
0,3,2792,2836
0,3,2792,2802
8,22,2794,2827
3,36,2798,2851
